entry1,entry2,class
536,769,0
293,674,0
536,81,0
536,73,0
811,709,0
536,242,0
585,709,0
293,216,0
293,404,0
585,24,0
293,117,0
536,378,0
536,662,0
293,808,0
293,4,0
293,435,0
536,293,0
536,117,0
293,389,0
536,166,0
585,45,0
536,521,0
536,808,0
585,353,0
536,635,0
536,674,0
585,822,0
293,635,0
293,716,0
293,73,0
536,435,0
811,45,0
293,662,0
293,378,0
536,716,0
293,234,0
293,166,0
293,521,0
811,822,0
536,4,0
293,769,0
585,100,0
293,457,0
811,100,0
811,353,0
536,404,0
293,81,0
293,714,0
293,66,0
536,367,0
293,545,0
293,367,0
293,242,0
536,66,0
536,234,0
536,714,0
811,24,0
536,216,0
536,545,0
536,457,0
549,606,1
528,439,1
330,193,1
444,30,1
444,81,1
444,13,1
444,759,1
444,124,1
306,781,1
306,243,1
57,454,1
239,248,1
330,5,1
464,124,1
57,803,1
57,606,1
153,621,1
444,489,1
57,4,1
549,818,1
464,105,1
444,503,1
306,530,1
306,723,1
549,680,1
306,227,1
765,194,1
239,227,1
549,493,1
677,186,1
92,278,1
464,362,1
92,47,1
528,605,1
92,637,1
549,474,1
57,502,1
153,716,1
464,346,1
464,522,1
239,455,1
306,67,1
330,556,1
306,553,1
330,639,1
239,674,1
444,664,1
306,118,1
57,213,1
92,417,1
92,590,1
92,558,1
57,559,1
57,147,1
153,687,1
57,781,1
57,0,1
464,52,1
92,541,1
464,453,1
464,189,1
306,454,1
306,606,1
464,158,1
306,272,1
464,518,1
464,53,1
444,700,1
239,526,1
239,501,1
306,338,1
306,720,1
306,433,1
239,762,1
330,227,1
306,682,1
330,723,1
444,663,1
444,186,1
549,277,1
92,394,1
549,629,1
549,444,1
444,608,1
549,305,1
464,331,1
528,207,1
528,126,1
92,569,1
444,510,1
677,147,1
239,589,1
153,297,1
528,297,1
239,275,1
330,387,1
153,164,1
330,105,1
239,482,1
549,586,1
153,674,1
153,524,1
153,593,1
153,722,1
57,437,1
239,682,1
239,4,1
528,767,1
444,770,1
464,151,1
306,351,1
306,474,1
306,292,1
528,296,1
206,33,1
330,793,1
528,61,1
330,151,1
549,647,1
330,277,1
330,818,1
330,773,1
549,260,1
153,818,1
549,426,1
549,593,1
528,275,1
549,674,1
153,109,1
528,624,1
153,666,1
153,809,1
153,367,1
153,274,1
306,767,1
306,528,1
239,569,1
528,522,1
748,474,1
549,742,1
549,666,1
330,290,1
549,274,1
549,809,1
528,774,1
528,782,1
549,367,1
330,157,1
330,274,1
330,809,1
330,367,1
330,666,1
153,5,1
306,522,1
306,346,1
444,451,1
444,615,1
306,103,1
239,649,1
528,754,1
528,507,1
528,730,1
528,34,1
528,742,1
239,307,1
748,764,1
528,649,1
92,310,1
528,252,1
464,67,1
57,237,1
57,229,1
57,554,1
464,682,1
444,818,1
444,524,1
306,640,1
444,801,1
444,731,1
444,722,1
306,639,1
306,556,1
57,624,1
464,197,1
57,275,1
464,687,1
549,754,1
444,277,1
153,646,1
153,761,1
444,502,1
306,24,1
306,242,1
549,114,1
464,237,1
306,725,1
528,133,1
549,267,1
765,507,1
92,677,1
92,764,1
57,483,1
57,310,1
464,810,1
153,613,1
153,599,1
153,746,1
239,346,1
239,189,1
464,2,1
239,522,1
57,53,1
464,533,1
306,554,1
306,237,1
306,229,1
444,419,1
92,485,1
528,101,1
92,225,1
528,502,1
444,362,1
57,239,1
57,106,1
464,284,1
57,556,1
528,229,1
306,624,1
444,379,1
306,275,1
444,196,1
444,370,1
306,390,1
306,518,1
306,189,1
306,453,1
464,272,1
306,75,1
306,158,1
464,338,1
306,656,1
549,420,1
239,229,1
239,237,1
444,8,1
239,63,1
549,335,1
444,4,1
92,162,1
239,310,1
239,579,1
239,483,1
444,392,1
444,589,1
306,68,1
549,171,1
748,243,1
57,730,1
239,171,1
239,502,1
464,387,1
444,728,1
528,118,1
239,663,1
528,553,1
330,554,1
330,237,1
92,663,1
153,558,1
153,440,1
748,663,1
153,590,1
153,417,1
239,803,1
306,144,1
464,530,1
464,227,1
528,610,1
528,194,1
239,722,1
239,801,1
330,499,1
330,390,1
330,56,1
549,52,1
528,682,1
549,518,1
444,394,1
153,562,1
153,510,1
153,456,1
153,260,1
153,647,1
239,781,1
57,774,1
57,198,1
63,529,1
92,738,1
306,8,1
306,2,1
57,773,1
444,271,1
528,153,1
57,578,1
549,522,1
330,510,1
330,549,1
549,237,1
549,554,1
444,356,1
153,134,1
239,488,1
57,392,1
306,328,1
306,371,1
306,426,1
444,231,1
444,823,1
444,420,1
444,114,1
444,547,1
330,16,1
528,434,1
549,656,1
239,362,1
239,503,1
306,668,1
330,8,1
528,668,1
306,267,1
748,140,1
528,301,1
57,162,1
57,526,1
57,517,1
464,623,1
306,434,1
528,611,1
528,440,1
528,320,1
306,98,1
306,201,1
528,95,1
153,105,1
549,13,1
549,462,1
549,320,1
239,485,1
239,256,1
549,193,1
549,191,1
153,536,1
330,463,1
306,657,1
306,222,1
306,198,1
153,663,1
57,463,1
306,375,1
528,259,1
330,640,1
549,759,1
748,105,1
464,640,1
464,556,1
464,639,1
153,605,1
464,220,1
57,683,1
306,162,1
464,312,1
57,267,1
306,526,1
306,517,1
153,91,1
306,501,1
92,453,1
765,444,1
57,536,1
464,198,1
239,606,1
464,275,1
464,624,1
92,275,1
239,267,1
92,742,1
92,307,1
444,557,1
92,24,1
306,174,1
528,147,1
306,783,1
306,455,1
444,486,1
444,578,1
239,255,1
444,623,1
239,144,1
92,639,1
765,57,1
464,1,1
92,640,1
92,483,1
153,143,1
92,33,1
528,237,1
153,217,1
528,554,1
444,297,1
444,296,1
444,133,1
239,530,1
92,186,1
92,155,1
444,354,1
153,680,1
153,259,1
528,270,1
306,305,1
306,444,1
677,292,1
748,615,1
306,608,1
444,215,1
57,56,1
239,767,1
330,267,1
444,724,1
306,248,1
549,284,1
330,668,1
330,101,1
528,158,1
528,189,1
528,453,1
444,229,1
153,575,1
444,517,1
549,272,1
549,338,1
153,382,1
153,170,1
153,608,1
153,305,1
528,536,1
444,646,1
92,489,1
330,171,1
528,529,1
528,631,1
153,806,1
444,134,1
153,810,1
153,171,1
239,162,1
528,186,1
549,105,1
507,796,1
549,387,1
528,47,1
153,439,1
549,30,1
306,464,1
306,493,1
444,463,1
153,229,1
444,101,1
330,196,1
330,79,1
748,723,1
330,370,1
528,92,1
239,252,1
239,241,1
239,284,1
528,829,1
549,723,1
306,829,1
549,227,1
549,483,1
57,524,1
57,133,1
444,794,1
306,16,1
549,536,1
306,92,1
444,112,1
330,170,1
528,826,1
57,126,1
306,761,1
330,382,1
444,155,1
330,826,1
92,728,1
464,608,1
444,429,1
153,767,1
239,220,1
239,774,1
239,312,1
464,793,1
57,47,1
464,445,1
153,189,1
153,453,1
765,92,1
239,419,1
57,284,1
92,682,1
153,265,1
92,594,1
464,801,1
464,524,1
464,243,1
464,722,1
464,731,1
57,738,1
330,746,1
57,343,1
464,426,1
57,637,1
153,390,1
57,163,1
464,589,1
330,613,1
765,510,1
528,656,1
92,722,1
306,217,1
92,192,1
549,608,1
464,773,1
464,486,1
549,312,1
464,783,1
306,415,1
464,335,1
464,68,1
306,331,1
464,59,1
153,725,1
153,24,1
153,242,1
464,474,1
464,794,1
57,689,1
444,227,1
92,243,1
92,437,1
444,656,1
153,610,1
464,461,1
92,803,1
57,829,1
464,607,1
464,401,1
464,301,1
464,554,1
306,47,1
464,320,1
464,770,1
464,193,1
444,401,1
444,607,1
444,498,1
239,536,1
239,429,1
464,250,1
330,394,1
528,501,1
330,133,1
444,118,1
330,728,1
239,623,1
528,517,1
444,189,1
528,162,1
330,297,1
330,296,1
549,639,1
444,453,1
464,621,1
464,394,1
549,79,1
153,759,1
239,98,1
239,392,1
153,81,1
306,773,1
306,290,1
528,171,1
549,547,1
528,810,1
528,806,1
306,33,1
464,222,1
464,657,1
306,386,1
549,275,1
549,624,1
444,338,1
444,272,1
330,629,1
330,126,1
306,646,1
57,537,1
549,390,1
153,529,1
92,578,1
57,742,1
153,488,1
153,290,1
153,33,1
92,229,1
549,196,1
153,386,1
528,392,1
677,207,1
528,4,1
528,274,1
528,157,1
57,215,1
528,809,1
153,826,1
153,124,1
153,799,1
306,764,1
153,252,1
444,126,1
444,629,1
306,677,1
57,296,1
92,693,1
528,284,1
153,750,1
330,742,1
239,411,1
239,439,1
330,754,1
239,742,1
92,7,1
549,331,1
153,801,1
57,639,1
549,623,1
549,486,1
57,67,1
57,118,1
239,562,1
57,192,1
306,284,1
444,767,1
528,433,1
444,528,1
528,256,1
528,485,1
330,488,1
528,674,1
528,593,1
57,356,1
528,109,1
444,24,1
444,522,1
444,346,1
444,54,1
444,242,1
239,607,1
239,401,1
153,455,1
57,451,1
464,79,1
464,144,1
92,220,1
444,539,1
239,101,1
57,370,1
57,196,1
549,488,1
92,522,1
528,629,1
57,434,1
57,248,1
57,52,1
239,463,1
464,761,1
306,387,1
92,290,1
239,354,1
57,783,1
57,68,1
306,716,1
306,105,1
549,155,1
57,503,1
92,163,1
528,793,1
239,81,1
239,680,1
549,71,1
92,691,1
549,456,1
239,489,1
464,557,1
57,557,1
306,315,1
306,57,1
239,656,1
528,481,1
444,536,1
153,375,1
153,301,1
464,569,1
153,198,1
153,222,1
153,657,1
239,250,1
239,575,1
153,277,1
549,774,1
464,637,1
464,700,1
92,529,1
153,793,1
464,281,1
464,738,1
464,343,1
464,449,1
153,151,1
444,312,1
444,774,1
444,220,1
306,147,1
306,559,1
306,36,1
330,445,1
57,649,1
464,271,1
153,579,1
239,657,1
330,553,1
330,453,1
330,67,1
549,801,1
330,118,1
549,243,1
549,781,1
92,623,1
153,556,1
92,28,1
239,192,1
239,549,1
57,186,1
444,723,1
464,118,1
464,24,1
464,143,1
528,124,1
444,773,1
330,250,1
549,454,1
330,451,1
330,265,1
330,615,1
444,53,1
444,518,1
444,75,1
306,250,1
549,793,1
153,61,1
549,151,1
549,445,1
153,570,1
153,427,1
153,363,1
153,798,1
239,103,1
153,481,1
330,536,1
464,213,1
549,256,1
528,144,1
239,823,1
239,231,1
239,114,1
549,461,1
528,164,1
528,549,1
528,510,1
239,547,1
153,586,1
549,328,1
528,33,1
330,586,1
57,464,1
306,356,1
330,354,1
330,578,1
153,429,1
153,419,1
549,250,1
153,503,1
153,362,1
306,738,1
444,445,1
444,151,1
444,793,1
306,637,1
153,241,1
153,194,1
464,265,1
444,606,1
330,803,1
528,52,1
444,454,1
239,134,1
549,668,1
549,516,1
239,700,1
549,68,1
748,375,1
549,375,1
57,134,1
528,716,1
507,578,1
57,597,1
306,52,1
330,682,1
239,556,1
306,188,1
306,140,1
306,689,1
528,590,1
330,498,1
330,401,1
528,558,1
239,647,1
239,260,1
549,770,1
330,461,1
57,629,1
63,103,1
330,502,1
153,158,1
464,277,1
528,260,1
528,647,1
528,562,1
444,328,1
444,371,1
444,426,1
464,582,1
239,553,1
464,627,1
464,69,1
92,401,1
92,498,1
507,683,1
549,738,1
153,639,1
528,312,1
549,767,1
549,502,1
464,112,1
239,434,1
464,54,1
528,666,1
444,434,1
239,611,1
306,484,1
239,557,1
57,415,1
306,597,1
57,331,1
549,761,1
92,794,1
153,656,1
92,54,1
306,724,1
57,547,1
57,823,1
92,484,1
57,231,1
464,374,1
57,420,1
57,114,1
464,370,1
464,196,1
464,428,1
306,826,1
239,30,1
444,375,1
464,248,1
239,664,1
444,657,1
444,222,1
153,486,1
57,761,1
239,271,1
306,84,1
306,207,1
57,155,1
306,163,1
444,781,1
444,243,1
92,689,1
92,502,1
464,764,1
92,382,1
239,725,1
306,106,1
444,98,1
444,526,1
92,375,1
153,34,1
444,501,1
330,569,1
57,8,1
330,403,1
330,71,1
330,150,1
57,189,1
153,507,1
153,730,1
153,754,1
153,742,1
92,810,1
231,225,1
306,71,1
444,61,1
444,783,1
330,420,1
330,114,1
330,799,1
330,547,1
748,728,1
464,781,1
330,84,1
464,371,1
153,25,1
153,145,1
153,416,1
464,328,1
528,174,1
549,95,1
528,114,1
239,193,1
528,687,1
528,197,1
330,270,1
330,695,1
330,611,1
330,7,1
330,644,1
330,748,1
444,411,1
153,611,1
153,7,1
153,695,1
239,281,1
444,84,1
153,192,1
549,271,1
153,522,1
444,499,1
444,390,1
444,207,1
57,197,1
153,423,1
330,823,1
153,582,1
444,56,1
528,163,1
330,483,1
92,746,1
57,484,1
444,624,1
239,759,1
444,275,1
528,217,1
239,359,1
748,693,1
444,403,1
507,260,1
528,241,1
57,193,1
549,242,1
549,24,1
528,724,1
549,725,1
549,222,1
306,803,1
444,68,1
57,320,1
57,301,1
444,476,1
306,437,1
306,255,1
306,109,1
549,590,1
306,452,1
306,241,1
306,194,1
330,220,1
330,312,1
330,774,1
528,272,1
549,484,1
528,338,1
528,720,1
57,793,1
239,452,1
464,649,1
748,799,1
528,569,1
549,192,1
239,54,1
549,144,1
528,71,1
528,150,1
528,403,1
528,541,1
153,387,1
57,656,1
306,419,1
306,503,1
306,362,1
748,640,1
444,493,1
306,701,1
748,639,1
528,98,1
444,213,1
92,84,1
464,799,1
549,382,1
549,170,1
306,401,1
57,61,1
464,689,1
57,292,1
464,188,1
464,8,1
444,16,1
57,338,1
57,720,1
57,54,1
306,320,1
57,112,1
239,196,1
306,301,1
239,370,1
57,794,1
444,687,1
153,272,1
444,158,1
464,759,1
464,653,1
57,401,1
57,607,1
464,13,1
464,81,1
464,114,1
549,8,1
153,433,1
464,823,1
464,231,1
239,48,1
306,593,1
306,621,1
464,398,1
306,674,1
92,700,1
306,256,1
306,485,1
153,227,1
57,403,1
57,71,1
57,150,1
57,541,1
153,530,1
153,723,1
239,809,1
153,671,1
92,30,1
306,687,1
239,274,1
306,197,1
239,666,1
444,639,1
57,701,1
444,556,1
92,114,1
464,516,1
92,510,1
444,640,1
92,549,1
92,761,1
464,476,1
528,488,1
92,260,1
306,793,1
239,8,1
306,427,1
306,570,1
306,798,1
306,363,1
528,556,1
306,481,1
464,106,1
549,112,1
549,109,1
549,98,1
549,54,1
330,511,1
330,213,1
153,461,1
92,242,1
306,818,1
153,454,1
153,437,1
153,255,1
153,584,1
153,803,1
153,606,1
444,511,1
239,124,1
464,292,1
444,433,1
444,103,1
330,503,1
57,188,1
330,419,1
444,331,1
464,767,1
549,374,1
239,558,1
464,493,1
239,510,1
306,536,1
239,34,1
330,197,1
330,687,1
549,248,1
330,649,1
748,290,1
507,770,1
330,794,1
239,174,1
239,126,1
528,106,1
549,764,1
330,54,1
444,530,1
57,207,1
549,433,1
153,502,1
549,689,1
464,164,1
444,374,1
239,631,1
444,474,1
444,292,1
239,328,1
239,476,1
528,582,1
528,423,1
748,382,1
57,271,1
528,69,1
153,147,1
153,781,1
330,256,1
330,593,1
330,674,1
306,483,1
306,63,1
306,579,1
306,310,1
306,562,1
306,69,1
306,260,1
306,647,1
306,423,1
239,539,1
239,117,1
528,75,1
528,518,1
549,803,1
239,511,1
239,213,1
528,213,1
528,511,1
306,330,1
528,250,1
528,539,1
444,677,1
444,569,1
444,764,1
306,462,1
306,307,1
306,192,1
444,305,1
748,315,1
306,191,1
92,683,1
239,629,1
444,398,1
92,770,1
239,225,1
444,284,1
57,518,1
57,75,1
57,767,1
92,257,1
306,281,1
57,731,1
330,310,1
464,91,1
92,370,1
57,722,1
444,307,1
464,680,1
464,259,1
57,782,1
57,220,1
57,312,1
57,144,1
444,440,1
57,668,1
464,615,1
57,256,1
464,451,1
306,95,1
306,558,1
306,590,1
306,440,1
306,417,1
239,486,1
57,307,1
549,463,1
57,511,1
153,186,1
464,217,1
57,117,1
57,539,1
549,640,1
239,106,1
549,5,1
528,526,1
92,259,1
549,359,1
57,690,1
92,615,1
57,191,1
444,67,1
464,379,1
464,671,1
528,56,1
464,592,1
306,416,1
306,145,1
306,35,1
306,25,1
444,553,1
464,559,1
153,237,1
464,147,1
464,0,1
464,36,1
153,554,1
330,109,1
549,140,1
549,188,1
444,105,1
239,518,1
306,746,1
549,499,1
239,75,1
306,599,1
306,613,1
444,267,1
549,67,1
444,668,1
444,683,1
153,624,1
330,36,1
153,275,1
330,599,1
464,482,1
464,506,1
549,553,1
239,806,1
239,810,1
549,664,1
464,724,1
92,723,1
330,192,1
528,578,1
153,649,1
464,419,1
528,773,1
549,823,1
330,663,1
330,155,1
444,482,1
464,186,1
57,621,1
330,191,1
528,701,1
748,644,1
330,462,1
528,277,1
528,798,1
528,363,1
528,427,1
528,570,1
464,629,1
444,147,1
330,767,1
330,528,1
444,0,1
528,193,1
330,656,1
153,483,1
330,189,1
153,310,1
57,796,1
444,162,1
239,754,1
444,144,1
464,375,1
239,379,1
306,193,1
239,398,1
153,640,1
57,250,1
153,344,1
153,106,1
549,693,1
57,387,1
330,417,1
239,794,1
330,440,1
330,590,1
330,95,1
330,558,1
239,730,1
444,554,1
239,671,1
306,541,1
528,783,1
306,150,1
306,610,1
306,403,1
239,112,1
528,68,1
464,483,1
306,569,1
239,541,1
444,47,1
748,16,1
549,597,1
239,403,1
424,103,1
239,150,1
239,71,1
330,338,1
528,426,1
57,687,1
528,328,1
528,371,1
444,416,1
239,158,1
330,271,1
444,164,1
528,201,1
444,35,1
330,284,1
92,610,1
57,452,1
153,196,1
57,281,1
549,270,1
444,637,1
444,343,1
444,738,1
444,281,1
306,439,1
444,386,1
528,722,1
444,290,1
444,33,1
239,451,1
528,271,1
153,392,1
528,455,1
528,5,1
239,164,1
206,750,1
549,189,1
464,456,1
549,56,1
464,647,1
464,260,1
444,52,1
306,259,1
306,680,1
57,225,1
57,801,1
57,593,1
57,485,1
239,217,1
528,599,1
507,126,1
239,440,1
528,801,1
153,773,1
57,277,1
464,126,1
239,624,1
153,354,1
153,578,1
677,163,1
57,818,1
57,445,1
239,605,1
57,109,1
57,666,1
57,809,1
464,310,1
464,579,1
57,157,1
57,158,1
57,274,1
153,506,1
153,4,1
153,589,1
549,297,1
239,637,1
444,250,1
153,631,1
239,147,1
549,476,1
92,106,1
464,192,1
464,307,1
464,462,1
92,126,1
464,191,1
92,239,1
92,117,1
306,575,1
306,382,1
444,188,1
444,689,1
153,526,1
153,517,1
464,25,1
153,501,1
464,145,1
464,416,1
306,750,1
330,456,1
306,605,1
330,647,1
444,680,1
306,671,1
239,272,1
306,91,1
57,770,1
549,394,1
92,53,1
92,75,1
444,829,1
330,671,1
330,605,1
330,91,1
444,455,1
549,259,1
57,569,1
239,387,1
444,826,1
549,615,1
239,716,1
549,451,1
239,242,1
330,506,1
306,649,1
464,613,1
444,464,1
464,599,1
330,589,1
153,101,1
549,217,1
239,24,1
239,499,1
528,690,1
528,462,1
57,501,1
528,191,1
239,56,1
330,722,1
528,416,1
330,801,1
528,35,1
239,462,1
330,455,1
306,463,1
444,140,1
57,646,1
444,597,1
153,284,1
528,746,1
153,668,1
153,564,1
153,764,1
153,267,1
549,36,1
528,482,1
330,680,1
444,248,1
330,259,1
57,34,1
306,451,1
306,615,1
330,217,1
549,220,1
444,484,1
239,423,1
239,582,1
57,599,1
57,746,1
464,818,1
330,57,1
330,260,1
306,34,1
306,742,1
306,754,1
306,507,1
330,444,1
239,720,1
239,338,1
306,611,1
306,7,1
306,213,1
306,644,1
306,748,1
528,331,1
306,270,1
528,415,1
549,671,1
549,605,1
330,677,1
528,464,1
549,91,1
239,761,1
528,493,1
444,621,1
464,236,1
528,761,1
549,637,1
306,252,1
306,799,1
92,292,1
549,354,1
549,589,1
549,482,1
549,506,1
549,4,1
92,644,1
748,84,1
528,700,1
528,134,1
57,153,1
464,109,1
92,476,1
464,452,1
239,646,1
444,437,1
306,759,1
306,81,1
306,13,1
57,95,1
57,440,1
57,590,1
57,433,1
239,493,1
528,613,1
57,103,1
464,463,1
57,582,1
464,140,1
239,746,1
464,803,1
464,255,1
464,584,1
57,510,1
153,693,1
57,549,1
57,647,1
306,693,1
239,35,1
57,482,1
92,91,1
239,25,1
92,482,1
464,701,1
464,286,1
92,463,1
92,36,1
464,503,1
444,359,1
306,488,1
306,631,1
306,529,1
464,363,1
464,798,1
444,301,1
92,330,1
464,570,1
464,427,1
153,207,1
444,109,1
444,320,1
464,481,1
153,133,1
444,163,1
239,331,1
57,462,1
92,379,1
92,338,1
153,163,1
528,354,1
507,47,1
153,426,1
444,256,1
444,485,1
528,623,1
464,354,1
444,593,1
57,272,1
57,677,1
330,476,1
444,674,1
549,126,1
153,328,1
528,486,1
330,693,1
549,722,1
92,105,1
153,629,1
153,126,1
153,47,1
239,445,1
239,818,1
528,67,1
239,793,1
239,151,1
239,277,1
444,481,1
444,427,1
444,570,1
330,61,1
444,798,1
444,363,1
330,356,1
528,91,1
330,482,1
528,671,1
153,52,1
528,750,1
549,455,1
239,222,1
153,738,1
153,281,1
330,4,1
153,637,1
549,25,1
549,35,1
549,416,1
92,270,1
