entry1,entry2,class
536,769,1
293,674,1
536,81,1
536,73,1
811,709,1
536,242,1
585,709,1
293,216,1
293,404,1
585,24,1
293,117,1
536,378,1
536,662,1
293,808,1
293,4,1
293,435,1
536,293,1
536,117,1
293,389,1
536,166,1
585,45,1
536,521,1
536,808,1
585,353,1
536,635,1
536,674,1
585,822,1
293,635,1
293,716,1
293,73,1
536,435,1
811,45,1
293,662,1
293,378,1
536,716,1
293,234,1
293,166,1
293,521,1
811,822,1
536,4,1
293,769,1
585,100,1
293,457,1
811,100,1
811,353,1
536,404,1
293,81,1
293,714,1
293,66,1
536,367,1
293,545,1
293,367,1
293,242,1
536,66,1
536,234,1
536,714,1
811,24,1
536,216,1
536,545,1
536,457,1
549,606,3
528,439,3
330,193,3
444,30,3
444,81,3
444,13,3
444,759,3
444,124,3
306,781,3
306,243,3
57,454,3
239,248,3
330,5,3
464,124,3
57,803,3
57,606,3
153,621,3
444,489,3
57,4,3
549,818,3
464,105,3
444,503,3
306,530,3
306,723,3
549,680,3
306,227,3
765,194,3
239,227,3
549,493,3
677,186,3
92,278,3
464,362,3
92,47,3
528,605,3
92,637,3
549,474,3
57,502,3
153,716,3
464,346,3
464,522,3
239,455,3
306,67,3
330,556,3
306,553,3
330,639,3
239,674,3
444,664,3
306,118,3
57,213,3
92,417,3
92,590,3
92,558,3
57,559,3
57,147,3
153,687,3
57,781,3
57,0,3
464,52,3
92,541,3
464,453,3
464,189,3
306,454,3
306,606,3
464,158,3
306,272,3
464,518,3
464,53,3
444,700,3
239,526,3
239,501,3
306,338,3
306,720,3
306,433,3
239,762,3
330,227,3
306,682,3
330,723,3
444,663,3
444,186,3
549,277,3
92,394,3
549,629,3
549,444,3
444,608,3
549,305,3
464,331,3
528,207,3
528,126,3
92,569,3
444,510,3
677,147,3
239,589,3
153,297,3
528,297,3
239,275,3
330,387,3
153,164,3
330,105,3
239,482,3
549,586,3
153,674,3
153,524,3
153,593,3
153,722,3
57,437,3
239,682,3
239,4,3
528,767,3
444,770,3
464,151,3
306,351,3
306,474,3
306,292,3
528,296,3
206,33,3
330,793,3
528,61,3
330,151,3
549,647,3
330,277,3
330,818,3
330,773,3
549,260,3
153,818,3
549,426,3
549,593,3
528,275,3
549,674,3
153,109,3
528,624,3
153,666,3
153,809,3
153,367,3
153,274,3
306,767,3
306,528,3
239,569,3
528,522,3
748,474,3
549,742,3
549,666,3
330,290,3
549,274,3
549,809,3
528,774,3
528,782,3
549,367,3
330,157,3
330,274,3
330,809,3
330,367,3
330,666,3
153,5,3
306,522,3
306,346,3
444,451,3
444,615,3
306,103,3
239,649,3
528,754,3
528,507,3
528,730,3
528,34,3
528,742,3
239,307,3
748,764,3
528,649,3
92,310,3
528,252,3
464,67,3
57,237,3
57,229,3
57,554,3
464,682,3
444,818,3
444,524,3
306,640,3
444,801,3
444,731,3
444,722,3
306,639,3
306,556,3
57,624,3
464,197,3
57,275,3
464,687,3
549,754,3
444,277,3
153,646,3
153,761,3
444,502,3
306,24,3
306,242,3
549,114,3
464,237,3
306,725,3
